fill	x	y	xmin	xmax	ymin	ymax
#E0DBEE	20680	24	20655	20705	-1	49
#DFDAEE	20730	24	20705	20755	-1	49
#A79ECF	20730	74	20705	20755	49	99
#F0EEF7	20780	74	20755	20805	49	99
#ECD4D1	20780	124	20755	20805	99	149
#F6F4FA	20830	124	20805	20855	99	149
#FDFAFA	20830	174	20805	20855	149	199
#EEEBF6	20880	174	20855	20905	149	199
#C9C2E2	20880	224	20855	20905	199	249
#F8EEED	20930	224	20905	20955	199	249
#F5F4FA	20930	274	20905	20955	249	299
#FDFDFE	20980	274	20955	21005	249	299
#DFDBEE	20980	324	20955	21005	299	349
#F3E4E2	21030	324	21005	21055	299	349
#D9D4EA	21030	374	21005	21055	349	399
#E7E3F2	21080	374	21055	21105	349	399
#F1EFF7	21080	424	21055	21105	399	449
#FBFAFD	21130	424	21105	21155	399	449
#7369B3	21130	474	21105	21155	449	499
#C8C1E1	21180	474	21155	21205	449	499
#E6C8C5	21180	524	21155	21205	499	549
#F6EAE8	21230	524	21205	21255	499	549
#F2F1F8	21230	574	21205	21255	549	599
#FEFCFC	21280	574	21255	21305	549	599
#B2A9D5	21280	624	21255	21305	599	649
#CEC8E4	21330	624	21305	21355	599	649
#F6EAE9	21330	674	21305	21355	649	699
#EAE7F4	21380	674	21355	21405	649	699
#DCD7EC	21380	724	21355	21405	699	749
#EBE8F4	21430	724	21405	21455	699	749
#E6E2F1	20780	24	20755	20805	-1	49
#E9E6F3	20880	124	20855	20905	99	149
#F3F1F8	20980	224	20955	21005	199	249
#DED9ED	21080	324	21055	21105	299	349
#9086C3	21180	424	21155	21205	399	449
#F0EDF7	21280	524	21255	21305	499	549
#CEC7E4	21380	624	21355	21405	599	649
#DDD8ED	20830	74	20805	20855	49	99
#D1CBE6	21030	274	21005	21055	249	299
#E2DEEF	21130	374	21105	21155	349	399
#F5F3F9	21230	474	21205	21255	449	499
#9A90C8	21330	574	21305	21355	549	599
#D5CFE8	21430	674	21405	21455	649	699
#E4E1F1	20930	174	20905	20955	149	199
#FEFCFC	21480	724	21455	21505	699	749
#EFECF6	20880	74	20855	20905	49	99
#E6E3F2	20980	174	20955	21005	149	199
#E8E5F3	21030	224	21005	21055	199	249
#F8EEED	21080	274	21055	21105	249	299
#E9E6F3	21130	324	21105	21155	299	349
#C7C0E0	21180	374	21155	21205	349	399
#EDEBF5	21230	424	21205	21255	399	449
#F7EDEC	21280	474	21255	21305	449	499
#EFEDF6	21330	524	21305	21355	499	549
#E0DCEE	21380	574	21355	21405	549	599
#D4CEE8	21430	624	21405	21455	599	649
#9B91C9	20830	24	20805	20855	-1	49
#E0BCB8	21480	674	21455	21505	649	699
#F3F1F8	20930	124	20905	20955	99	149
#9F95CB	20880	24	20855	20905	-1	49
#F8F7FB	21080	224	21055	21105	199	249
#FFFEFE	21180	324	21155	21205	299	349
#D8ADA8	21280	424	21255	21305	399	449
#F3F1F9	20930	74	20905	20955	49	99
#FAF9FC	21030	174	21005	21055	149	199
#EED8D5	21130	274	21105	21155	249	299
#F5F4FA	21380	524	21355	21405	499	549
#E9E6F3	21230	374	21205	21255	349	399
#DBB3AE	21330	474	21305	21355	449	499
#E6C8C5	21480	624	21455	21505	599	649
#EAD1CE	21430	574	21405	21455	549	599
#FDFAFA	20980	124	20955	21005	99	149
#EAE7F4	21530	674	21505	21555	649	699
#E5E2F1	21080	174	21055	21105	149	199
#F6EAE9	21130	224	21105	21155	199	249
#F2E3E0	21180	274	21155	21205	249	299
#F8F7FB	21030	124	21005	21055	99	149
