group	x	y	showSelected1
1	20680	24	108
1	20680	24	203
1	20680	24	68
2	20730	24	203
2	20730	24	68
2	20730	24	108
2	20730	24	8
2	20730	24	245
2	20730	24	431
2	20730	24	816
2	20730	24	804
3	20730	74	68
3	20730	74	108
3	20730	74	8
6	20780	74	108
6	20780	74	172
6	20780	74	286
6	20780	74	8
6	20780	74	24
6	20780	74	427
6	20780	74	484
6	20780	74	644
6	20780	74	245
5	20780	124	172
5	20780	124	108
5	20780	124	853
5	20780	124	11
5	20780	124	286
5	20780	124	427
8	20830	124	853
8	20830	124	11
8	20830	124	377
8	20830	124	427
8	20830	124	108
8	20830	124	804
8	20830	124	316
8	20830	124	394
9	20830	174	11
9	20830	174	377
9	20830	174	802
13	20880	174	377
13	20880	174	802
13	20880	174	337
13	20880	174	157
13	20880	174	11
14	20880	224	377
14	20880	224	337
14	20880	224	157
14	20880	224	227
19	20930	224	337
19	20930	224	223
19	20930	224	80
19	20930	224	377
19	20930	224	227
19	20930	224	231
19	20930	224	895
19	20930	224	897
19	20930	224	157
19	20930	224	11
19	20930	224	409
19	20930	224	515
19	20930	224	804
19	20930	224	468
20	20930	274	80
20	20930	274	231
20	20930	274	223
20	20930	274	895
26	20980	274	80
26	20980	274	231
26	20980	274	304
26	20980	274	527
26	20980	274	895
26	20980	274	319
26	20980	274	561
26	20980	274	309
26	20980	274	245
27	20980	324	80
27	20980	324	231
27	20980	324	254
34	21030	324	80
34	21030	324	25
34	21030	324	151
34	21030	324	254
34	21030	324	740
34	21030	324	90
34	21030	324	231
34	21030	324	360
34	21030	324	873
34	21030	324	561
34	21030	324	785
34	21030	324	846
34	21030	324	500
34	21030	324	245
34	21030	324	539
34	21030	324	40
34	21030	324	749
35	21030	374	25
35	21030	374	90
35	21030	374	832
35	21030	374	714
43	21080	374	90
43	21080	374	25
43	21080	374	714
43	21080	374	43
43	21080	374	360
43	21080	374	558
43	21080	374	40
43	21080	374	245
43	21080	374	47
43	21080	374	111
44	21080	424	25
44	21080	424	90
44	21080	424	159
44	21080	424	43
53	21130	424	43
53	21130	424	159
53	21130	424	69
53	21130	424	614
53	21130	424	718
53	21130	424	400
53	21130	424	475
53	21130	424	727
53	21130	424	90
53	21130	424	40
53	21130	424	18
53	21130	424	900
