fill	x	y	xmin	xmax	ymin	ymax
#111111	0	0	-0.125	0.125	-2.5	2.5
#767676	0.75	5	0.625	0.875	2.5	7.5
#818181	1	5	0.875	1.125	2.5	7.5
#888888	1.25	5	1.125	1.375	2.5	7.5
#1C1C1C	2	0	1.875	2.125	-2.5	2.5
#191919	1	0	0.875	1.125	-2.5	2.5
#181818	0.75	0	0.625	0.875	-2.5	2.5
#000000	0.25	0	0.125	0.375	-2.5	2.5
#2E2E2E	1.25	0	1.125	1.375	-2.5	2.5
#0D0D0D	-0.25	0	-0.375	-0.125	-2.5	2.5
#151515	0.5	0	0.375	0.625	-2.5	2.5
#191919	-1.75	0	-1.875	-1.625	-2.5	2.5
#3A3A3A	-3	0	-3.125	-2.875	-2.5	2.5
#111111	-0.5	0	-0.625	-0.375	-2.5	2.5
#1F1F1F	-1	0	-1.125	-0.875	-2.5	2.5
#2A2A2A	-2.5	0	-2.625	-2.375	-2.5	2.5
#3D3D3D	3.25	0	3.125	3.375	-2.5	2.5
#2C2C2C	2.75	0	2.625	2.875	-2.5	2.5
#1C1C1C	-0.75	0	-0.875	-0.625	-2.5	2.5
#2D2D2D	-1.25	0	-1.375	-1.125	-2.5	2.5
#595959	-3.75	0	-3.875	-3.625	-2.5	2.5
#727272	4.25	0	4.125	4.375	-2.5	2.5
#494949	-3.5	0	-3.625	-3.375	-2.5	2.5
#2A2A2A	1.5	0	1.375	1.625	-2.5	2.5
#464646	2.25	0	2.125	2.375	-2.5	2.5
#303030	-1.5	0	-1.625	-1.375	-2.5	2.5
#494949	-2	0	-2.125	-1.875	-2.5	2.5
#959595	-2	5	-2.125	-1.875	2.5	7.5
#363636	1.75	0	1.625	1.875	-2.5	2.5
#616161	4	0	3.875	4.125	-2.5	2.5
#6A6A6A	-4	0	-4.125	-3.875	-2.5	2.5
#7F7F7F	-2.75	0	-2.875	-2.625	-2.5	2.5
#555555	2.5	0	2.375	2.625	-2.5	2.5
#4E4E4E	3.75	0	3.625	3.875	-2.5	2.5
#777777	-4.25	0	-4.375	-4.125	-2.5	2.5
#787878	0.5	5	0.375	0.625	2.5	7.5
#B0B0B0	0.75	10	0.625	0.875	7.5	12.5
#ACACAC	1	10	0.875	1.125	7.5	12.5
#878787	1.5	5	1.375	1.625	2.5	7.5
#808080	-4.5	0	-4.625	-4.375	-2.5	2.5
#989898	-4.75	5	-4.875	-4.625	2.5	7.5
#5A5A5A	-2.25	0	-2.375	-2.125	-2.5	2.5
#7A7A7A	-0.75	5	-0.875	-0.625	2.5	7.5
#878787	-1	5	-1.125	-0.875	2.5	7.5
#B1B1B1	-3	5	-3.125	-2.875	2.5	7.5
#8E8E8E	-1.75	5	-1.875	-1.625	2.5	7.5
#9E9E9E	3.25	5	3.125	3.375	2.5	7.5
#808080	3	0	2.875	3.125	-2.5	2.5
#7B7B7B	-0.5	5	-0.625	-0.375	2.5	7.5
#B0B0B0	-1	10	-1.125	-0.875	7.5	12.5
#CACACA	-1.25	15	-1.375	-1.125	12.5	17.5
#878787	1.75	5	1.625	1.875	2.5	7.5
#848484	4.5	0	4.375	4.625	-2.5	2.5
#979797	4.5	5	4.375	4.625	2.5	7.5
#9E9E9E	-0.75	10	-0.875	-0.625	7.5	12.5
#BEBEBE	-1	15	-1.125	-0.875	12.5	17.5
#DEDEDE	1.25	20	1.125	1.375	17.5	22.5
#9C9C9C	2.75	5	2.625	2.875	2.5	7.5
#A5A5A5	-0.25	5	-0.375	-0.125	2.5	7.5
#EEEEEE	-1.25	25	-1.375	-1.125	22.5	27.5
#8A8A8A	2	5	1.875	2.125	2.5	7.5
#A9A9A9	4.75	5	4.625	4.875	2.5	7.5
#B8B8B8	-5	5	-5.125	-4.875	2.5	7.5
#8B8B8B	-1.25	5	-1.375	-1.125	2.5	7.5
#B7B7B7	3.5	5	3.375	3.625	2.5	7.5
#B5B5B5	5	5	4.875	5.125	2.5	7.5
#949494	-2.25	5	-2.375	-2.125	2.5	7.5
#AAAAAA	2.5	5	2.375	2.625	2.5	7.5
#B4B4B4	-2.75	5	-2.875	-2.625	2.5	7.5
#B3B3B3	0.25	5	0.125	0.375	2.5	7.5
#BABABA	-1.25	10	-1.375	-1.125	7.5	12.5
#939393	-2.5	5	-2.625	-2.375	2.5	7.5
#8F8F8F	2.25	5	2.125	2.375	2.5	7.5
