group	fill	clickSelects
1	#FFFFFF	55
2	#FFFFFF	95
3	#FFFFFF	55
4	#FFFFFF	379
5	#FFFFFF	379
6	#FFFFFF	379
7	#FFFFFF	379
8	#FFFFFF	379
9	#FFFFFF	379
10	#FFFFFF	379
11	#FFFFFF	379
12	#FFFFFF	379
13	#FFFFFF	379
14	#FFFFFF	95
15	#FFFFFF	379
16	#FFFFFF	379
17	#FFFFFF	95
18	#FFFFFF	95
19	#FFFFFF	95
20	#FFFFFF	95
21	#FFFFFF	95
22	#FFFFFF	95
23	#FFFFFF	95
24	#FFFFFF	95
25	#FFFFFF	95
26	#FFFFFF	95
27	#FFFFFF	95
28	#FFFFFF	95
29	#FFFFFF	95
30	#FFFFFF	95
31	#FFFFFF	95
32	#FFFFFF	95
33	#FFFFFF	95
34	#FFFFFF	95
35	#FFFFFF	95
36	#FFFFFF	95
37	#FFFFFF	95
38	#FFFFFF	95
39	#FFFFFF	95
40	#FFFFFF	95
41	#FFFFFF	95
42	#FFFFFF	95
43	#FFFFFF	95
44	#FFFFFF	95
45	#FFFFFF	95
46	#FFFFFF	95
47	#FFFFFF	95
48	#FFFFFF	95
49	#FFFFFF	379
50	#FFFFFF	379
52	#FFFFFF	55
53	#FFFFFF	55
54	#FFFFFF	379
55	#FFFFFF	379
56	#FFFFFF	379
57	#FFFFFF	379
58	#FFFFFF	379
59	#FFFFFF	379
60	#FFFFFF	379
61	#FFFFFF	379
62	#FFFFFF	379
63	#FFFFFF	379
64	#FFFFFF	95
65	#FFFFFF	379
66	#FFFFFF	379
67	#FFFFFF	95
68	#FFFFFF	95
69	#FFFFFF	95
70	#FFFFFF	95
71	#FFFFFF	95
72	#FFFFFF	95
73	#FFFFFF	95
74	#FFFFFF	95
75	#FFFFFF	95
76	#FFFFFF	95
77	#FFFFFF	95
78	#FFFFFF	95
79	#FFFFFF	95
80	#FFFFFF	95
81	#FFFFFF	95
82	#FFFFFF	95
83	#FFFFFF	95
84	#FFFFFF	95
85	#FFFFFF	95
86	#FFFFFF	95
