xmin	xmax	ymin	ymax	showSelected1	row_in_group	na_group
-22.45	-21.55	-2.79357865415628	0	20700,0	2	1
-21.45	-20.55	-1.83404192933587	0	20700,0	3	1
-20.45	-19.55	-2.46004984606363	0	20700,0	4	1
-19.45	-18.55	-1.76513707667497	0	20700,0	5	1
-18.45	-17.55	-4.30215510922152	0	20700,0	6	1
-17.45	-16.55	-1.36123735522651	0	20700,0	7	1
-15.45	-14.55	-0.116551825245565	0	20700,0	9	2
-14.45	-13.55	-0.942677026828911	0	20700,0	10	2
-13.45	-12.55	-3.80662659434101	0	20700,0	11	2
-12.45	-11.55	-0.0806333382202023	0	20700,0	12	2
-11.45	-10.55	-0.544641548160094	0	20700,0	13	2
-10.45	-9.55	-3.76850901627327	0	20700,0	14	2
-9.45	-8.55	-5.831989444363	0	20700,0	15	2
-8.45	-7.55	-2.84049259639349	0	20700,0	16	2
-7.45	-6.55	-1.16918340419293	0	20700,0	17	2
-6.45	-5.55	-1.79372526022577	0	20700,0	18	2
-5.45	-4.55	-6.7160240433954	0	20700,0	19	2
-4.45	-3.55	-2.56047500366515	0	20700,0	20	2
-3.45	-2.55	-2.85368714264771	0	20700,0	21	2
-1.45	-0.55	-1.03064066852368	0	20700,0	23	3
-43.45	-42.55	-1.66764404046328	0	20750,0	31	10
-42.45	-41.55	-5.57909397449055	0	20750,0	32	10
-41.45	-40.55	-2.6117871279871	0	20750,0	33	10
-40.45	-39.55	-3.09778624835068	0	20750,0	34	10
-39.45	-38.55	-1.33924644480282	0	20750,0	35	10
-38.45	-37.55	-0.316669110101158	0	20750,0	36	10
-37.45	-36.55	-2.04735376044568	0	20750,0	37	10
-35.45	-34.55	-3.10438352147779	0	20750,0	39	11
-34.45	-33.55	-0.10335727899135	0	20750,0	40	11
-33.45	-32.55	-0.59815276352441	0	20750,0	41	11
-32.45	-31.55	-0.859844597566339	0	20750,0	42	11
-31.45	-30.55	-2.88667350828324	0	20750,0	43	11
-43.45	-42.55	-1.66764404046328	0	20750,50	63	30
-42.45	-41.55	-5.57909397449055	0	20750,50	64	30
-41.45	-40.55	-2.6117871279871	0	20750,50	65	30
-40.45	-39.55	-3.09778624835068	0	20750,50	66	30
-39.45	-38.55	-1.33924644480282	0	20750,50	67	30
-38.45	-37.55	-0.316669110101158	0	20750,50	68	30
-37.45	-36.55	-2.04735376044568	0	20750,50	69	30
-35.45	-34.55	-3.10438352147779	0	20750,50	71	31
-34.45	-33.55	-0.10335727899135	0	20750,50	72	31
-33.45	-32.55	-0.59815276352441	0	20750,50	73	31
-32.45	-31.55	-0.859844597566339	0	20750,50	74	31
-31.45	-30.55	-2.88667350828324	0	20750,50	75	31
-44.45	-43.55	-0.263890925084299	0	20800,50	95	50
-41.45	-40.55	-0.047646972584665	0	20800,50	98	52
-38.45	-37.55	-0.134144553584518	0	20800,50	101	54
-36.45	-35.55	-0.108488491423545	0	20800,50	103	55
-34.45	-33.55	-0.236768802228412	0	20800,50	105	56
-31.45	-30.55	-0.19865122416068	0	20800,50	108	58
-19.45	-18.55	-1.64125494795485	0	20800,50	120	69
-18.45	-17.55	-3.86013780970532	0	20800,50	121	69
-17.45	-16.55	-2.44612226946196	0	20800,50	122	69
-15.45	-14.55	-0.565166397888873	0	20800,50	124	70
-14.45	-13.55	-0.00146606069491277	0	20800,50	125	70
-13.45	-12.55	-0.539510335727899	0	20800,50	126	70
-4.45	-3.55	-0.996188242193227	0	20800,50	135	78
-2.45	-1.55	-0.942677026828911	0	20800,50	137	79
-44.45	-43.55	-0.263890925084299	0	20800,100	146	87
-41.45	-40.55	-0.047646972584665	0	20800,100	149	89
-38.45	-37.55	-0.134144553584518	0	20800,100	152	91
-36.45	-35.55	-0.108488491423545	0	20800,100	154	92
-34.45	-33.55	-0.236768802228412	0	20800,100	156	93
-31.45	-30.55	-0.19865122416068	0	20800,100	159	95
-19.45	-18.55	-1.64125494795485	0	20800,100	171	106
-18.45	-17.55	-3.86013780970532	0	20800,100	172	106
-17.45	-16.55	-2.44612226946196	0	20800,100	173	106
-15.45	-14.55	-0.565166397888873	0	20800,100	175	107
-14.45	-13.55	-0.00146606069491277	0	20800,100	176	107
-13.45	-12.55	-0.539510335727899	0	20800,100	177	107
-4.45	-3.55	-0.996188242193227	0	20800,100	186	115
-2.45	-1.55	-0.942677026828911	0	20800,100	188	116
-39.45	-38.55	-3.1681571617065	0	20850,100	201	128
-38.45	-37.55	-9.34393783902654	0	20850,100	202	128
-37.45	-36.55	-3.3580120216977	0	20850,100	203	128
-36.45	-35.55	-3.30889898841812	0	20850,100	204	128
-35.45	-34.55	-4.97067878610175	0	20850,100	205	128
-34.45	-33.55	-2.99003078727459	0	20850,100	206	128
-33.45	-32.55	-10	0	20850,100	207	128
-31.45	-30.55	-4.18047207154376	0	20850,100	209	129
-30.45	-29.55	-4.69872452719543	0	20850,100	210	129
-29.45	-28.55	-7.45345257293652	0	20850,100	211	129
-28.45	-27.55	-7.62058349215658	0	20850,100	212	129
-27.45	-26.55	-6.26521037970972	0	20850,100	213	129
-26.45	-25.55	-1.7563407125055	0	20850,100	214	129
-19.45	-18.55	-0.0586424277965108	0	20850,100	221	135
-17.45	-16.55	-0.52118457704149	0	20850,100	223	136
-16.45	-15.55	-0.908957630845917	0	20850,100	224	136
-15.45	-14.55	-1.8369740507257	0	20850,100	225	136
-14.45	-13.55	-0.170796070957338	0	20850,100	226	136
-13.45	-12.55	-0.134144553584518	0	20850,100	227	136
-11.45	-10.55	-0.645066705761619	0	20850,100	229	137
-10.45	-9.55	-1.97185163465768	0	20850,100	230	137
-9.45	-8.55	-3.64316082685823	0	20850,100	231	137
-8.45	-7.55	-2.18223134437766	0	20850,100	232	137
-7.45	-6.55	-6.65078434247178	0	20850,100	233	137
-6.45	-5.55	-9.82700483800029	0	20850,100	234	137
-5.45	-4.55	-8.95689781556957	0	20850,100	235	137
-4.45	-3.55	-7.06934467086937	0	20850,100	236	137
-3.45	-2.55	-5.86204368860871	0	20850,100	237	137
-2.45	-1.55	-3.7142647705615	0	20850,100	238	137
-1.45	-0.55	-5.51751942530421	0	20850,100	239	137
-0.45	0.45	-9.75516786394957	0	20850,100	240	137
0.55	1.45	-7.14704588769975	0	20850,100	241	137
1.55	2.45	-1.47632311977716	0	20850,100	242	137
2.55	3.45	-0.286614865855446	0	20850,100	243	137
-39.45	-38.55	-3.1681571617065	0	20850,150	249	142
-38.45	-37.55	-9.34393783902654	0	20850,150	250	142
-37.45	-36.55	-3.3580120216977	0	20850,150	251	142
-36.45	-35.55	-3.30889898841812	0	20850,150	252	142
-35.45	-34.55	-4.97067878610175	0	20850,150	253	142
-34.45	-33.55	-2.99003078727459	0	20850,150	254	142
-33.45	-32.55	-10	0	20850,150	255	142
-31.45	-30.55	-4.18047207154376	0	20850,150	257	143
-30.45	-29.55	-4.69872452719543	0	20850,150	258	143
-29.45	-28.55	-7.45345257293652	0	20850,150	259	143
-28.45	-27.55	-7.62058349215658	0	20850,150	260	143
-27.45	-26.55	-6.26521037970972	0	20850,150	261	143
-26.45	-25.55	-1.7563407125055	0	20850,150	262	143
-19.45	-18.55	-0.0586424277965108	0	20850,150	269	149
-17.45	-16.55	-0.52118457704149	0	20850,150	271	150
-16.45	-15.55	-0.908957630845917	0	20850,150	272	150
-15.45	-14.55	-1.8369740507257	0	20850,150	273	150
-14.45	-13.55	-0.170796070957338	0	20850,150	274	150
-13.45	-12.55	-0.134144553584518	0	20850,150	275	150
-11.45	-10.55	-0.645066705761619	0	20850,150	277	151
-10.45	-9.55	-1.97185163465768	0	20850,150	278	151
-9.45	-8.55	-3.64316082685823	0	20850,150	279	151
-8.45	-7.55	-2.18223134437766	0	20850,150	280	151
-7.45	-6.55	-6.65078434247178	0	20850,150	281	151
-6.45	-5.55	-9.82700483800029	0	20850,150	282	151
-5.45	-4.55	-8.95689781556957	0	20850,150	283	151
-4.45	-3.55	-7.06934467086937	0	20850,150	284	151
-3.45	-2.55	-5.86204368860871	0	20850,150	285	151
-2.45	-1.55	-3.7142647705615	0	20850,150	286	151
-1.45	-0.55	-5.51751942530421	0	20850,150	287	151
-0.45	0.45	-9.75516786394957	0	20850,150	288	151
0.55	1.45	-7.14704588769975	0	20850,150	289	151
1.55	2.45	-1.47632311977716	0	20850,150	290	151
2.55	3.45	-0.286614865855446	0	20850,150	291	151
-6.45	-5.55	-0.152470312270928	0	20900,150	308	167
-3.45	-2.55	-1.01671309192201	0	20900,150	311	169
-2.45	-1.55	-8.02961442603724	0	20900,150	312	169
-1.45	-0.55	-6.62146312857352	0	20900,150	313	169
-0.45	0.45	-5.86131065826125	0	20900,150	314	169
0.55	1.45	-5.16493182817769	0	20900,150	315	169
1.55	2.45	-1.12813370473538	0	20900,150	316	169
2.55	3.45	-4.17900601084885	0	20900,150	317	169
