group	x	y	clickSelects	showSelected1
454	-23.25	-0.25	108	20700,0
454	-23.25	0.25	108	20700,0
454	-0.75	22.75	108	20700,0
454	0.25	22.75	108	20700,0
454	0.75	23.25	108	20700,0
454	1.25	23.25	108	20700,0
454	1.25	22.25	108	20700,0
454	2.75	20.75	108	20700,0
454	2.75	20.25	108	20700,0
454	2.25	19.75	108	20700,0
454	2.25	18.75	108	20700,0
454	1.75	18.25	108	20700,0
454	1.75	17.25	108	20700,0
454	1.25	16.75	108	20700,0
454	1.25	16.25	108	20700,0
454	2.25	16.25	108	20700,0
454	2.75	15.75	108	20700,0
454	2.75	15.25	108	20700,0
454	2.25	14.75	108	20700,0
454	2.25	14.25	108	20700,0
454	2.75	13.75	108	20700,0
454	2.75	13.25	108	20700,0
454	2.25	13.25	108	20700,0
454	0.25	15.25	108	20700,0
454	0.25	16.25	108	20700,0
454	-0.25	16.25	108	20700,0
454	-0.75	15.75	108	20700,0
454	-0.75	14.75	108	20700,0
454	-2.25	14.75	108	20700,0
454	-2.75	15.25	108	20700,0
454	-3.25	15.25	108	20700,0
454	-3.25	14.75	108	20700,0
454	-2.75	14.25	108	20700,0
454	-2.75	13.75	108	20700,0
454	-3.75	13.75	108	20700,0
454	-3.75	13.25	108	20700,0
454	-3.25	12.75	108	20700,0
454	-3.25	11.75	108	20700,0
454	-2.25	11.75	108	20700,0
454	-1.75	11.25	108	20700,0
454	-1.75	10.25	108	20700,0
454	-0.25	8.75	108	20700,0
454	0.25	8.75	108	20700,0
454	1.25	9.75	108	20700,0
454	1.75	9.75	108	20700,0
454	1.75	9.25	108	20700,0
454	1.25	8.75	108	20700,0
454	1.25	8.25	108	20700,0
454	2.75	6.75	108	20700,0
454	2.75	5.75	108	20700,0
454	3.25	5.25	108	20700,0
454	5.25	5.25	108	20700,0
454	5.25	-0.25	108	20700,0
454	3.75	-0.25	108	20700,0
454	3.75	0.75	108	20700,0
454	3.25	0.75	108	20700,0
454	3.25	-0.25	108	20700,0
454	-23.25	-0.25	108	20700,0
454	-18.25	4.75	108	20750,50
454	-18.25	5.25	108	20750,50
454	1.25	24.75	108	20750,50
454	2.25	24.75	108	20750,50
454	2.25	25.75	108	20750,50
454	4.25	27.75	108	20750,50
454	4.75	27.75	108	20750,50
454	4.75	3.25	108	20750,50
454	4.25	2.75	108	20750,50
454	3.75	2.75	108	20750,50
454	3.75	3.75	108	20750,50
454	3.25	4.25	108	20750,50
454	2.75	4.25	108	20750,50
454	2.75	0.25	108	20750,50
454	1.75	-0.75	108	20750,50
454	-7.75	-0.75	108	20750,50
454	-8.75	0.25	108	20750,50
454	-8.75	2.75	108	20750,50
454	-8.25	3.25	108	20750,50
454	-7.25	3.25	108	20750,50
454	-7.25	3.75	108	20750,50
454	-7.75	4.25	108	20750,50
454	-7.75	4.75	108	20750,50
454	-7.25	5.25	108	20750,50
454	-7.25	5.75	108	20750,50
454	-8.25	6.75	108	20750,50
454	-8.25	7.25	108	20750,50
454	-7.25	8.25	108	20750,50
454	-6.75	8.25	108	20750,50
454	-6.75	7.75	108	20750,50
454	-7.25	7.25	108	20750,50
454	-7.25	6.75	108	20750,50
454	-5.75	6.75	108	20750,50
454	-4.75	7.75	108	20750,50
454	-4.25	7.75	108	20750,50
454	-4.25	7.25	108	20750,50
454	-5.25	6.25	108	20750,50
454	-5.25	5.75	108	20750,50
454	-3.25	5.75	108	20750,50
454	-2.75	5.25	108	20750,50
454	-2.75	4.75	108	20750,50
454	-3.25	4.25	108	20750,50
454	-3.25	3.75	108	20750,50
454	-2.75	3.75	108	20750,50
454	-2.25	4.25	108	20750,50
454	-0.75	4.25	108	20750,50
454	-0.25	3.75	108	20750,50
454	0.25	3.75	108	20750,50
454	1.25	4.75	108	20750,50
454	1.25	6.25	108	20750,50
454	0.25	7.25	108	20750,50
454	0.25	8.25	108	20750,50
454	-0.75	8.25	108	20750,50
454	-1.25	8.75	108	20750,50
454	-1.75	8.75	108	20750,50
454	-1.75	7.75	108	20750,50
454	-2.25	7.75	108	20750,50
454	-2.25	9.25	108	20750,50
454	-1.25	10.25	108	20750,50
454	-1.25	10.75	108	20750,50
454	-1.75	11.25	108	20750,50
454	-2.25	11.25	108	20750,50
454	-2.25	10.25	108	20750,50
454	-2.75	10.25	108	20750,50
454	-3.25	10.75	108	20750,50
454	-3.25	12.25	108	20750,50
454	-2.25	13.25	108	20750,50
454	-2.25	13.75	108	20750,50
454	-2.75	13.75	108	20750,50
454	-3.25	13.25	108	20750,50
454	-3.75	13.25	108	20750,50
454	-4.25	13.75	108	20750,50
454	-5.25	13.75	108	20750,50
454	-5.75	14.25	108	20750,50
454	-6.75	14.25	108	20750,50
454	-7.25	14.75	108	20750,50
454	-7.75	14.75	108	20750,50
454	-7.75	14.25	108	20750,50
454	-6.75	13.25	108	20750,50
454	-6.75	11.75	108	20750,50
454	-7.25	11.25	108	20750,50
454	-7.25	9.25	108	20750,50
454	-9.75	6.75	108	20750,50
454	-10.25	6.75	108	20750,50
454	-10.75	7.25	108	20750,50
454	-10.75	8.25	108	20750,50
454	-11.75	9.25	108	20750,50
454	-12.25	9.25	108	20750,50
454	-12.25	8.75	108	20750,50
454	-11.75	8.25	108	20750,50
454	-11.75	7.75	108	20750,50
454	-12.75	7.75	108	20750,50
454	-13.25	7.25	108	20750,50
454	-14.25	7.25	108	20750,50
454	-14.25	6.75	108	20750,50
454	-13.75	6.25	108	20750,50
454	-13.75	5.75	108	20750,50
454	-14.75	5.75	108	20750,50
454	-14.75	4.75	108	20750,50
454	-15.75	4.75	108	20750,50
454	-16.25	4.25	108	20750,50
454	-16.75	4.25	108	20750,50
454	-17.25	4.75	108	20750,50
454	-18.25	4.75	108	20750,50
454	-45.25	27.75	108	20800,50
454	-45.25	28.25	108	20800,50
454	-35.25	38.25	108	20800,50
454	-34.75	38.25	108	20800,50
454	-33.25	36.75	108	20800,50
454	-33.25	35.75	108	20800,50
454	-32.25	35.75	108	20800,50
454	-29.25	32.75	108	20800,50
454	-29.25	31.25	108	20800,50
454	-29.75	30.75	108	20800,50
454	-29.75	30.25	108	20800,50
454	-28.75	30.25	108	20800,50
454	-28.75	29.25	108	20800,50
454	-27.75	29.25	108	20800,50
454	-27.75	28.75	108	20800,50
454	-28.75	27.75	108	20800,50
454	-28.75	25.75	108	20800,50
454	-30.25	25.75	108	20800,50
454	-30.25	26.75	108	20800,50
454	-30.75	26.75	108	20800,50
454	-31.75	25.75	108	20800,50
454	-31.75	25.25	108	20800,50
454	-30.75	25.25	108	20800,50
454	-30.75	24.25	108	20800,50
454	-30.25	24.25	108	20800,50
454	-29.75	24.75	108	20800,50
454	-29.25	24.75	108	20800,50
454	-29.25	22.75	108	20800,50
454	-28.25	21.75	108	20800,50
454	-28.25	21.25	108	20800,50
454	-28.75	21.25	108	20800,50
