fill	x	y	xmin	xmax	ymin	ymax
#FFFFFF	4.5	5	4.375	4.625	4.875	5.125
#898989	3.25	2.25	3.125	3.375	2.125	2.375
#9D9D9D	3.75	3.5	3.625	3.875	3.375	3.625
#707070	2.75	1.5	2.625	2.875	1.375	1.625
#BBBBBB	4.5	4.5	4.375	4.625	4.375	4.625
#BBBBBB	3	2.25	2.875	3.125	2.125	2.375
#898989	3.75	3.25	3.625	3.875	3.125	3.375
#414141	2.75	1	2.625	2.875	0.875	1.125
#FFFFFF	4.25	4.75	4.125	4.375	4.625	4.875
#4E4E4E	2.75	2	2.625	2.875	1.875	2.125
#AAAAAA	4	3.25	3.875	4.125	3.125	3.375
#FFFFFF	3	2.75	2.875	3.125	2.625	2.875
#D4D4D4	3.25	2.75	3.125	3.375	2.625	2.875
#898989	2.25	2	2.125	2.375	1.875	2.125
#9D9D9D	3.5	2.75	3.375	3.625	2.625	2.875
#D4D4D4	4	3.5	3.875	4.125	3.375	3.625
#D4D4D4	3.75	3	3.625	3.875	2.875	3.125
#D4D4D4	4.25	4	4.125	4.375	3.875	4.125
#AAAAAA	3.5	2.5	3.375	3.625	2.375	2.625
#9D9D9D	3.25	2.5	3.125	3.375	2.375	2.625
#676767	3	2	2.875	3.125	1.875	2.125
#676767	3	1.5	2.875	3.125	1.375	1.625
#898989	2.75	0	2.625	2.875	-0.125	0.125
#4E4E4E	2.5	2	2.375	2.625	1.875	2.125
#D4D4D4	3.75	2.5	3.625	3.875	2.375	2.625
#D4D4D4	4	3	3.875	4.125	2.875	3.125
#D4D4D4	3	2.5	2.875	3.125	2.375	2.625
#929292	3.25	1.5	3.125	3.375	1.375	1.625
#BBBBBB	3.5	2	3.375	3.625	1.875	2.125
#636363	2.25	1.5	2.125	2.375	1.375	1.625
#FFFFFF	3.5	4.25	3.375	3.625	4.125	4.375
#FFFFFF	3.75	2.25	3.625	3.875	2.125	2.375
#707070	3	1	2.875	3.125	0.875	1.125
#FFFFFF	4.5	4	4.375	4.625	3.875	4.125
#D4D4D4	4.25	3.5	4.125	4.375	3.375	3.625
#FFFFFF	4.25	4.5	4.125	4.375	4.375	4.625
#BBBBBB	3.75	2.75	3.625	3.875	2.625	2.875
#757575	3.25	2	3.125	3.375	1.875	2.125
#2B2B2B	2.25	0	2.125	2.375	-0.125	0.125
#FFFFFF	4.5	4.75	4.375	4.625	4.625	4.875
#2E2E2E	2.5	1	2.375	2.625	0.875	1.125
#FFFFFF	4	5.25	3.875	4.125	5.125	5.375
#565656	2.5	1.5	2.375	2.625	1.375	1.625
#333333	2.25	1	2.125	2.375	0.875	1.125
#FFFFFF	4.75	5.5	4.625	4.875	5.375	5.625
#BBBBBB	3.5	2.25	3.375	3.625	2.125	2.375
#AAAAAA	2.75	2.5	2.625	2.875	2.375	2.625
#4E4E4E	2.5	0	2.375	2.625	-0.125	0.125
#FFFFFF	4	3.75	3.875	4.125	3.625	3.875
#FFFFFF	3	3.75	2.875	3.125	3.625	3.875
#242424	2	0	1.875	2.125	-0.125	0.125
#D4D4D4	3	0	2.875	3.125	-0.125	0.125
#222222	2	1	1.875	2.125	0.875	1.125
#141414	1.75	0	1.625	1.875	-0.125	0.125
#1F1F1F	1.75	1	1.625	1.875	0.875	1.125
#D4D4D4	2.75	2.25	2.625	2.875	2.125	2.375
#BBBBBB	3.25	1	3.125	3.375	0.875	1.125
#000000	1.5	0	1.375	1.625	-0.125	0.125
#898989	2	1.5	1.875	2.125	1.375	1.625
#FFFFFF	4.25	4.25	4.125	4.375	4.125	4.375
#BBBBBB	2	2	1.875	2.125	1.875	2.125
#FFFFFF	4	5.5	3.875	4.125	5.375	5.625
#303030	1.5	1	1.375	1.625	0.875	1.125
#FFFFFF	3	4	2.875	3.125	3.875	4.125
#FFFFFF	2.5	3.5	2.375	2.625	3.375	3.625
#BBBBBB	1.75	2	1.625	1.875	1.875	2.125
#FFFFFF	4	2.5	3.875	4.125	2.375	2.625
#FFFFFF	3	3	2.875	3.125	2.875	3.125
#D4D4D4	2.5	2.25	2.375	2.625	2.125	2.375
#D4D4D4	2.25	2.25	2.125	2.375	2.125	2.375
#929292	1.5	1.5	1.375	1.625	1.375	1.625
#828282	1.75	1.5	1.625	1.875	1.375	1.625
#636363	1.25	1	1.125	1.375	0.875	1.125
#FFFFFF	4	2.75	3.875	4.125	2.625	2.875
#535353	1	0	0.875	1.125	-0.125	0.125
#222222	1.25	0	1.125	1.375	-0.125	0.125
#FFFFFF	2.5	2.5	2.375	2.625	2.375	2.625
#FFFFFF	0	0	-0.125	0.125	-0.125	0.125
#BBBBBB	1	1	0.875	1.125	0.875	1.125
#AAAAAA	0.75	0	0.625	0.875	-0.125	0.125
#FFFFFF	0.25	0	0.125	0.375	-0.125	0.125
#FFFFFF	0.75	1	0.625	0.875	0.875	1.125
